,PC 1,PC 2,PC 3
3_month,0.16329715487320465,-0.5375101910474048,0.6307947860589621
6_month,0.2524561446316619,-0.507543040313048,0.12403045825846842
1_year,0.3027436099067018,-0.3442846500681517,-0.29465240957017974
2_year,0.3381335845692734,-0.14023325403531098,-0.3677905700861658
3_year,0.35173541470965713,-0.042077946934531416,-0.2966355533305917
5_year,0.3604758109894326,0.07992039610531423,-0.1596927754977549
7_year,0.3591443467458452,0.1695098959762916,-0.035805345774310174
10_year,0.3510336867538767,0.23850263163848232,0.10915913480096119
20_year,0.32158458573909376,0.32113387110782654,0.3151269928680641
30_year,0.3071243246717198,0.34406928706753315,0.3723267949244301
